"","Site","RCP","Period","Rgroup","GCM","M.Bmass","SD.Bmass","Med.Bmass","MAT","MAP","Site_Type"
"11697",27,"RCP45","Mid","p.warm.grass","MRI-CGCM3",43.59102707,3.13699561200082,43.756729,4.95845718,438.8118985,"unn"
"11698",27,"RCP45","Mid","p.warm.grass","NorESM1-M",43.31700898,3.55555774949671,42.903698,6.09166983,460.29060029,"unn"
"11699",27,"RCP45","Mid","sagebrush","bcc-csm1-1",606.37895386,42.9800986495529,602.3294375,5.92759173,399.22280032,"unn"
"11700",27,"RCP45","Mid","sagebrush","CanESM2",766.17476319,69.3137213355092,745.483429,6.68542371,489.62109983,"unn"
"11701",27,"RCP45","Mid","sagebrush","CCSM4",699.13379025,70.4360223432375,690.70224,6.20371299,439.61679964,"unn"
"11702",27,"RCP45","Mid","sagebrush","CNRM-CM5",834.99033139,59.4863816160451,815.964996,5.57249622,508.83339906,"unn"
"11703",27,"RCP45","Mid","sagebrush","CSIRO-Mk3-6-0",811.89868898,70.7866388216672,794.740326,6.01942715,497.55670019,"unn"
"11704",27,"RCP45","Mid","sagebrush","GFDL-ESM2G",747.51580751,48.5495513277956,757.845001,5.630406,459.38360106,"unn"
"11705",27,"RCP45","Mid","sagebrush","GFDL-ESM2M",750.34661864,50.6570596451237,744.123199,5.04251746,475.66900021,"unn"
"11706",27,"RCP45","Mid","sagebrush","HadGEM2-CC365",729.4975781,69.5406979307685,716.6375425,6.26076992,450.94740047,"unn"
"11707",27,"RCP45","Mid","sagebrush","HadGEM2-ES365",663.95722903,37.9448215630475,662.227936,6.61053997,426.66820039,"unn"
"11708",27,"RCP45","Mid","sagebrush","inmcm4",630.06723758,24.7217270038583,630.7063905,5.01024604,415.35339937,"unn"
"11709",27,"RCP45","Mid","sagebrush","IPSL-CM5A-LR",692.74289491,51.0289868990127,694.4311215,6.43043213,428.85439814,"unn"
"11710",27,"RCP45","Mid","sagebrush","IPSL-CM5A-MR",641.1714957,61.9293645829006,667.7203065,6.33531936,430.6529996,"unn"
"11711",27,"RCP45","Mid","sagebrush","MIROC-ESM",806.71860594,100.320515479503,828.244232,7.32602999,504.27299954,"unn"
"11712",27,"RCP45","Mid","sagebrush","MIROC-ESM-CHEM",830.65089051,35.5215753533878,827.6309205,7.11130438,516.33169708,"unn"
"11713",27,"RCP45","Mid","sagebrush","MIROC5",825.12596196,52.5385385067193,818.972626,6.75078664,496.72790038,"unn"
"11714",27,"RCP45","Mid","sagebrush","MRI-CGCM3",659.63561039,43.9969735026186,651.914154,4.95845718,438.8118985,"unn"
"11715",27,"RCP45","Mid","sagebrush","NorESM1-M",751.56666871,46.7719500096576,746.176117,6.09166983,460.29060029,"unn"
"11716",27,"RCP45","Mid","shrub","bcc-csm1-1",8.65774715,0.902744454002074,8.6992145,5.92759173,399.22280032,"unn"
