"","Site","RCP","Period","Rgroup","Median_Biomass","Percent_Change"
"247","13","RCP45","Late","a.forb",0.862699904999999,15.989365315715
"248","13","RCP45","Late","p.cool.grass",4.50672732999999,6.81909185172792
"249","13","RCP45","Late","p.forb",0.979729644999999,5.52339324635622
"250","13","RCP45","Late","p.warm.grass",9.79647571,29.9447411584446
"251","13","RCP45","Late","sagebrush",285.57601165,66.33170932875
"252","13","RCP45","Late","shrub",0.21594419,2.59232085453415
"253","13","RCP85","Mid","a.forb",0.75168591,13.931820958837
"254","13","RCP85","Mid","p.cool.grass",4.97188847999999,7.52292334084208
"255","13","RCP85","Mid","p.forb",1.01572952,5.72634869172776
"256","13","RCP85","Mid","p.warm.grass",10.16713911,31.0777424436496
"257","13","RCP85","Mid","sagebrush",294.21168124,68.3375456095824
"258","13","RCP85","Mid","shrub",0.245808440000001,2.9508288471781
"259","13","RCP85","Late","a.forb",0.974417045,18.0599418315277
"260","13","RCP85","Late","p.cool.grass",4.88922316999999,7.39784314393531
"261","13","RCP85","Late","p.forb",-2.48645536,-14.0178168670095
"262","13","RCP85","Late","p.warm.grass",12.55599004,38.3797074443835
"263","13","RCP85","Late","sagebrush",218.06056913,50.6496683808314
"264","13","RCP85","Late","shrub",-1.07549568,-12.9108816506033
"265","14","RCP45","Mid","a.forb",0.408232105,6.93054511667469
"266","14","RCP45","Mid","p.cool.grass",5.64304374,8.53736186721947
"267","14","RCP45","Mid","p.forb",1.67337545,9.70677429947739
"268","14","RCP45","Mid","p.warm.grass",9.85722941,30.1993582820338
"269","14","RCP45","Mid","sagebrush",243.85654575,55.1170137335074
"270","14","RCP45","Mid","shrub",0.36877872,4.59498904774491
"271","14","RCP45","Late","a.forb",0.710173945,12.0566033543818
"272","14","RCP45","Late","p.cool.grass",6.05131136999999,9.15503003648693
"273","14","RCP45","Late","p.forb",1.45787032,8.45669043020015
"274","14","RCP45","Late","p.warm.grass",10.17624969,31.1767330933759
"275","14","RCP45","Late","sagebrush",295.88549718,66.8767162327268
"276","14","RCP45","Late","shrub",0.59627424,7.42958704952503
"277","14","RCP85","Mid","a.forb",0.445082125,7.556146883494
"278","14","RCP85","Mid","p.cool.grass",5.22587178000001,7.90622233552817
"279","14","RCP85","Mid","p.forb",1.387753985,8.04996554454969
"280","14","RCP85","Mid","p.warm.grass",11.15632318,34.1793608335
"281","14","RCP85","Mid","sagebrush",264.80311558,59.8514053137669
"282","14","RCP85","Mid","shrub",0.517083809999999,6.44287296109766
"283","14","RCP85","Late","a.forb",0.357824335,6.07477380438175
"284","14","RCP85","Late","p.cool.grass",5.35474508999999,8.10119478890423
"285","14","RCP85","Late","p.forb",-1.094440285,-6.34853632563495
"286","14","RCP85","Late","p.warm.grass",12.95058835,39.6764081748994
"287","14","RCP85","Late","sagebrush",231.99018715,52.4349522456298
"288","14","RCP85","Late","shrub",-0.22985431,-2.8639885648146
"289","15","RCP45","Mid","a.forb",0.127937865,2.26965396017313
"290","15","RCP45","Mid","p.cool.grass",1.53960556,2.21405864625999
"291","15","RCP45","Mid","p.forb",-0.544908830000001,-2.86249072987497
"292","15","RCP45","Mid","p.warm.grass",4.57796404,11.9645750747628
"293","15","RCP45","Mid","sagebrush",179.2840185,34.9913387221739
"294","15","RCP45","Mid","shrub",0.367843059999998,4.46425682228649
"295","15","RCP45","Late","a.forb",0.934691294999999,16.5816883003019
"296","15","RCP45","Late","p.cool.grass",2.23776970999999,3.21806669415002
"297","15","RCP45","Late","p.forb",-0.415872955000001,-2.18464523412699
"298","15","RCP45","Late","p.warm.grass",3.88661841,10.1577332952139
"299","15","RCP45","Late","sagebrush",222.03492976,43.3351477749605
"300","15","RCP45","Late","shrub",0.387117049999999,4.69817190919932
"301","15","RCP85","Mid","a.forb",0.622114274999999,11.0364834361898
"302","15","RCP85","Mid","p.cool.grass",2.04337536999999,2.93851426822802
"303","15","RCP85","Mid","p.forb",-0.189621505000002,-0.996111221481664
"304","15","RCP85","Mid","p.warm.grass",5.03171625,13.1504630228657
"305","15","RCP85","Mid","sagebrush",180.28985226,35.1876499722721
"306","15","RCP85","Mid","shrub",0.353926419999999,4.29536018722885
"307","15","RCP85","Late","a.forb",0.79536843,14.1100612156236
"308","15","RCP85","Late","p.cool.grass",0.976205329999999,1.40385038062059
"309","15","RCP85","Late","p.forb",-3.599170735,-18.907002964468
"310","15","RCP85","Late","p.warm.grass",5.40823139,14.1344907740568
"311","15","RCP85","Late","sagebrush",150.11584775,29.2985092599681
"312","15","RCP85","Late","shrub",-0.751020250000001,-9.1146133754374
"313","16","RCP45","Mid","a.forb",0.152603235,2.61955404520924
"314","16","RCP45","Mid","p.cool.grass",4.57765965999999,6.89671141979889
"315","16","RCP45","Mid","p.forb",0.933727319999999,5.32710144560737
"316","16","RCP45","Mid","p.warm.grass",9.1234547,26.721648355951
"317","16","RCP45","Mid","sagebrush",271.14184749,62.4949147878342
"318","16","RCP45","Mid","shrub",1.1181002,14.8590780822273
"319","16","RCP45","Late","a.forb",0.704952755,12.1010661473962
"320","16","RCP45","Late","p.cool.grass",4.9920846,7.52108488323533
"321","16","RCP45","Late","p.forb",1.04878723,5.98354128598009
"322","16","RCP45","Late","p.warm.grass",8.42288822,24.6697621194219
"323","16","RCP45","Late","sagebrush",296.51563111,68.3432648667917
"324","16","RCP45","Late","shrub",1.09681704,14.5762339003941
"325","16","RCP85","Mid","a.forb",0.402392295,6.90737889094083
"326","16","RCP85","Mid","p.cool.grass",5.45938535000001,8.22512115031895
"327","16","RCP85","Mid","p.forb",1.232339715,7.03074499014966
"328","16","RCP85","Mid","p.warm.grass",8.72949267,25.5677746121315
"329","16","RCP85","Mid","sagebrush",268.44313353,61.8728938769043
"330","16","RCP85","Mid","shrub",0.906372889999999,12.0453118102689
